Time(sec),real,imag,abs,Max Voltage CH1,Min Voltage CH1,Avg Voltage CH1,Max Voltage CH2,Min Voltage CH2,Avg Voltage CH2
0.005002260208129883,22.404,-0.035,22.404,0.004261,-0.003127,0.000679,0.003245,-0.003504,-0.000476
0.1255347728729248,-1.399,11.602,11.686,0.004597,-0.003127,0.000565,0.003245,-0.004516,-0.000331
0.2513706684112549,0.941,4.072,4.18,0.004261,-0.003463,0.000689,0.003245,-0.004179,-0.000525
0.37816905975341797,6.24,0.411,6.254,0.004261,-0.003463,0.0006,0.002907,-0.003841,-0.000564
0.5061979293823242,-5.45,-5.334,7.626,0.004597,-0.002791,0.000712,0.003245,-0.003841,-0.000484
0.6342270374298096,6.673,-0.954,6.741,0.004261,-0.004134,0.000476,0.00257,-0.003841,-0.000538
0.7462520599365234,-12.331,2.485,12.579,0.004597,-0.003127,0.000385,0.003245,-0.004853,-0.000597
0.8723580837249756,2.809,-4.358,5.184,0.004933,-0.003463,0.000558,0.002907,-0.003841,-0.000589
0.9826192855834961,42.91,15.554,45.642,0.003925,-0.002791,0.000477,0.002907,-0.003841,-0.000615
1.124544382095337,-11.255,-3.287,11.725,0.004261,-0.003127,0.000679,0.003245,-0.004179,-0.000543
1.2353746891021729,9.704,3.665,10.373,0.004261,-0.003463,0.000513,0.003245,-0.004179,-0.000673
1.3605995178222656,6.695,-1.655,6.897,0.003925,-0.003463,0.000531,0.002907,-0.004853,-0.000707
1.4725406169891357,0.873,-1.145,1.44,0.004261,-0.003127,0.000516,0.003245,-0.003841,-0.000318
1.5965595245361328,1.867,-4.813,5.163,0.004597,-0.003799,0.000544,0.002907,-0.004516,-0.000468
1.721562147140503,13.692,11.971,18.187,0.004597,-0.004134,0.000403,0.002907,-0.003841,-0.000627
1.8463337421417236,-64.231,26.49,69.479,0.004597,-0.003127,0.000501,0.003245,-0.003504,-0.00039
1.9723272323608398,-7.149,-14.816,16.45,0.004261,-0.002791,0.000582,0.003582,-0.004179,-0.000549
2.09932804107666,-10.611,13.149,16.896,0.004261,-0.003127,0.000386,0.003245,-0.003841,-0.000558
2.2111310958862305,-14.404,52.784,54.714,0.003925,-0.003127,0.000435,0.003245,-0.004853,-0.000645
2.3213486671447754,1.364,17.808,17.86,0.004261,-0.003127,0.000558,0.00392,-0.004853,-0.00043
2.4333393573760986,10.113,2.346,10.382,0.004261,-0.00447,0.000206,0.00257,-0.005191,-0.000657
2.5451502799987793,-1.973,5.015,5.389,0.003589,-0.003127,0.000395,0.003245,-0.004853,-0.000728
